username,date,full_display_text
NomadsPoet,10/03/2026 05:08,"[Retweeted]
""The difference between a Palestinian date and an Israeli date"""
NomadsPoet,10/03/2026 04:45,"[Retweeted]
""JUST IN: SCOTT RITTER SAYS NETANYAHU BROTHER DEAD AND BEN GVIR INJURED

“Last night the Iranians strike the home of Benjamin Netanyahu - they killed his Brother”

“They struck the home of Ben-Gvir - he seriously injured he may not survive - the BBC said he was in a car accident”"
NomadsPoet,10/03/2026 04:44,"[Retweeted]
""I mean come on....."
NomadsPoet,10/03/2026 03:58,"[Retweeted]
""The young Somali man, born with a disability, comes to the mosque every day for the five daily prayers by crawling...

Forgive us O Lord, we who are perfectly healthy yet too lazy to pray.🥹"
NomadsPoet,10/03/2026 00:54,"[Retweeted]
""Listen to what Muslims say in their prayers in English. Islam is unique."
Muhamma90133977,10/03/2026 05:05,"[Retweeted]
""@JakeLang"
Muhamma90133977,10/03/2026 05:04,"[Retweeted]
""This fucking retard larping as a white Christian is jewish.

This is what jews do, they pretend to be white to spread white, black and Muslim hate only to later separate themselves later by saying oh but I’m not white I’m jewish."""
Muhamma90133977,10/03/2026 04:33,"""""The Haifa Museum of Art in Israel displays the McJesus statue.

Funny how they can mock Jesus like this while constantly claiming Israel is the greatest ally of Christians. 
""
--------------

no such thing as judeo-christian"
Muhamma90133977,10/03/2026 04:29,"[Retweeted]
""Israeli settler stole a refrigerator from a Palestinian home and tried to carry it away on his back but got crushed. 

FAFO."
Muhamma90133977,10/03/2026 03:22,Rid yourselves of this humiliation!
Muhamma90133977,09/03/2026 22:51,"[Retweeted]
""@yairlapid It’s been about 48 hours since you called for a campaign of Israeli attacks on Iranian energy infrastructure and civilians

Everyone knows you are the world’s worst terrorist"
Muhamma90133977,09/03/2026 22:41,"[Retweeted]
""Iran is transforming Tel Aviv into a barbecue hotspot!

3 am , 9th of march 2026"
Muhamma90133977,09/03/2026 22:17,"[Retweeted]
""@BackupJeffx"
Muhamma90133977,09/03/2026 21:41,"[Retweeted]
""First they came for Canada, and I said nothing. Then they came for Texas-- and I spoke."""
Muhamma90133977,09/03/2026 21:40,"[Retweeted]
""“Katie Johnson “ was just 13, looking to be a model in New York. Ghislaine Maxwell lured her to Jeffrey Epstein’s 71st St townhouse, where Trump raped her in 1994. It’s all there in the Epstein files. She was interviewed by the FBI. They covered it up."
Muhamma90133977,09/03/2026 19:19,"[Retweeted]
""@MyDubhLinn @Selfridges Jewish Palestine returned to its original name - ISRAEL.  THERE HAS NEVER BEEN AN ARAB PALESTINE IN THE HISTORY OF TIME  EVER"""
Muhamma90133977,09/03/2026 19:19,The one time in its life it told the truth!
Muhamma90133977,09/03/2026 17:48,"[Retweeted]
""Israel loyalists in the US don't allow American officials to express anger toward Israel for any reason, even when they kill American citizens and Christians, which they do quite often."""
Muhamma90133977,09/03/2026 06:28,"[Retweeted]
""No one deserves it more"
Muhamma90133977,09/03/2026 06:13,"[Retweeted]
""Ted Lieu dropped the heaviest accusation in American politics.

“The Epstein files are being blocked because they show Trump raped children.”"
Muhamma90133977,09/03/2026 05:07,"[Retweeted]
""𝗔𝗣𝗢𝗖𝗔𝗟𝗬𝗣𝗧𝗜𝗖 𝗖𝗨𝗥𝗦𝗘 𝗗𝗘𝗦𝗖𝗘𝗡𝗗𝗜𝗡𝗚 𝗜𝗠𝗠𝗘𝗗𝗜𝗔𝗧𝗘𝗟𝗬

Mass exodus of colonial settlers from Israel are reportedly fleeing the country. 

They are coming back to America, abandoning the stolen land project."
Muhamma90133977,09/03/2026 05:05,"[Retweeted]
""𝗕𝗜𝗕𝗟𝗜𝗖𝗔𝗟 𝗣𝗟𝗔𝗚𝗨𝗘 𝗛𝗔𝗣𝗣𝗘𝗡𝗜𝗡𝗚 𝗥𝗜𝗚𝗛𝗧 𝗡𝗢𝗪

Tons of Israelis are fleeing the country as the war with Iran intensifies. 

They are all coming back to the U.S."
Muhamma90133977,09/03/2026 03:22,"[Retweeted]
""@brandon_maly @AAGDhillon @BillAckman @tedcruz @LauraLoomer @benshapiro @VivekGRamaswamy @KatiePavlich @GovMikeHuckabee @EYakoby Settle down jew, nobody is reading that and nobody cares"""
Muhamma90133977,08/03/2026 23:24,"[Retweeted]
""Thomas Massie: Covid, Epstein, and Iran"
archivalpercy,28/02/2026 12:23,"The targeting of the Iranian ""Kish"" International airport of Iran's Radar site by the IDF-USAF Joint Coalition.

📍 POV coordinates:
26.52558611°, 54.01388611°
📍 Radar site coordinates:
26.53389167°, 53.99012778°"
archivalpercy,28/02/2026 12:21,"The targeting of the IRGC's ""Heydar Karrar"" SSM Tunnel Entrance in Tehran's Damavand, Iran by the IDF-USAF coalition.

📍 Coordinates:
35.686431° 52.143692°"
archivalpercy,20/02/2026 01:21,"[Retweeted]
"""
archivalpercy,18/02/2026 21:39,"[Retweeted]
""&gt;wake up
&gt;cancel all meetings
&gt;pop addy and a zyn
&gt;open up 6 screens with Osint x dot com accounts, defense stocks, sketchy telegram channels, pentagon pizza tracker, feet pics and caspian sea surf cams
&gt;lock in and monitor"""
archivalpercy,18/02/2026 21:35,"[Retweeted]
""I'm listening to callsigns you can't pronounce on frequencies you've never heard of."""
archivalpercy,18/02/2026 20:05,"NOTAM's issued in Iran today (18/Feb):
- (A0605/26): Closed airspace in designated areas for ""Rocket"" launches on the 19th of February for a period of 10 hours, starting 3:30 UTC, to 13:30 UTC."
archivalpercy,17/02/2026 19:34,"[Retweeted]
""💯 I can confirm am struggling to keep up and stay sane!"""
archivalpercy,17/02/2026 15:53,"Satellite imagery today display the ""AlMuntar"" IDF Outpost [2] of northern Gaza, and another established IDF FOB [3] approximately 2km away north."
archivalpercy,17/02/2026 13:20,"[Retweeted]
"""
archivalpercy,11/02/2026 13:38,"""""🧵4/4 - In central Gaza, the IDF has advanced towards 'Maghazi', carrying out clearance operations. Nearby; facing 'AlQarara' and 'AlMa'ani', the IDF has established a dirt embankment spanning 2.5+ Kilometers. 
""
--------------

Satellite imagery of the dirt embankment, spanning 2.5km+ in length, facing Gaza's 'AlQarara' &amp; 'AlMa'ani'."
archivalpercy,09/02/2026 21:35,"[Retweeted]
""This is the 3rd world: a race of mystery meat monkeys grinding & gyrating on each other indiscriminately. Male, female, trans means nothing. All that matters is, “can I fuck it?” People say they’re animals but animals are at least ruled by instinct and therefore, follow God’s order. 

These people are something worse. They are something between animal and human but somehow worse than either. They’ve overthrown instinct but they haven’t replaced it with consciousness. 

This is why the third world never builds anything of value. Their whole existence centers around, “who can I fuck?” They never have a thought that isn’t about fulfilling a base pleasure. This is why sexual immorality always leads to the collapse of civilization. 

This is who they want to import en masse. It is easy to rule over people who are already slaves."""
