"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012130557937725888","“And when they see a sign, they ridicule”

(37:14)","en","Retweet","ONE","One_Dawah","87481","63","91","14","964","348","2026-01-16 13:51:23","https://x.com/One_Dawah/status/2012130557937725888","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2012130479009406976/pu/vid/avc1/720x720/UHylkZKZCNts6xWS.mp4?tag=19"
"2012130557937725888","“And when they see a sign, they ridicule”

(37:14)","en","Tweet","ONE","One_Dawah","87481","63","91","14","964","348","2026-01-16 13:51:23","https://x.com/One_Dawah/status/2012130557937725888","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2012130479009406976/pu/vid/avc1/720x720/UHylkZKZCNts6xWS.mp4?tag=19"
"2011880075529241102",""" Don't say anything about Ayatollah Khamenei, or else ""","en","Retweet","ONE","One_Dawah","11951","26","35","1","421","21","2026-01-15 21:16:03","https://x.com/One_Dawah/status/2011880075529241102","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-uiQ0RbQAIM4EM.jpg"
"2011880075529241102",""" Don't say anything about Ayatollah Khamenei, or else ""","en","Tweet","ONE","One_Dawah","11951","26","35","1","421","21","2026-01-15 21:16:03","https://x.com/One_Dawah/status/2011880075529241102","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-uiQ0RbQAIM4EM.jpg"
"2011473458538992003",""" It's not Shirk bro , or else ""","en","Retweet","ONE","One_Dawah","10051","10","24","0","321","26","2026-01-14 18:20:18","https://x.com/One_Dawah/status/2011473458538992003","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-owcpqWgAAsXdw.jpg"
"2011473458538992003",""" It's not Shirk bro , or else ""","en","Tweet","ONE","One_Dawah","10051","10","24","0","321","26","2026-01-14 18:20:18","https://x.com/One_Dawah/status/2011473458538992003","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-owcpqWgAAsXdw.jpg"
"2011429311874814402","Daniel Haqiqatjou defends Shia beliefs, yet doesn’t even know the difference between Usulis and Akhbaris 😂😂😂😂

He got absolutely rinsed by this brother https://t.co/RXW5QIXXLf","en","Retweet","ONE","One_Dawah","30173","24","34","4","327","90","2026-01-14 15:24:53","https://x.com/One_Dawah/status/2011429311874814402","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2011429126633103360/pu/vid/avc1/1920x1080/IUBw-WCScLNjlt6b.mp4?tag=19"
"2011429311874814402","Daniel Haqiqatjou defends Shia beliefs, yet doesn’t even know the difference between Usulis and Akhbaris 😂😂😂😂

He got absolutely rinsed by this brother https://t.co/RXW5QIXXLf","en","Tweet","ONE","One_Dawah","30173","24","34","4","327","90","2026-01-14 15:24:53","https://x.com/One_Dawah/status/2011429311874814402","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2011429126633103360/pu/vid/avc1/1920x1080/IUBw-WCScLNjlt6b.mp4?tag=19"
"2011298791165739363","Taqiyatjou lost to @provingislam and look how he pathetically behaves

Victimhood https://t.co/EIdqRpNB2t","en","Retweet","ONE","One_Dawah","50117","35","28","6","439","221","2026-01-14 06:46:14","https://x.com/One_Dawah/status/2011298791165739363","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2011298744319512576/pu/vid/avc1/1280x720/XnC5hPkJy8fWDQ8M.mp4?tag=19"
"2011298791165739363","Taqiyatjou lost to @provingislam and look how he pathetically behaves

Victimhood https://t.co/EIdqRpNB2t","en","Tweet","ONE","One_Dawah","50117","35","28","6","439","221","2026-01-14 06:46:14","https://x.com/One_Dawah/status/2011298791165739363","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2011298744319512576/pu/vid/avc1/1280x720/XnC5hPkJy8fWDQ8M.mp4?tag=19"
