threshold,accuracy,macro_f1,salafi_jihadi_precision,salafi_jihadi_recall,salafi_jihadi_f1,salafi_jihadi_f2
0.05,0.1821705426356589,0.10273224043715846,0.1821705426356589,1.0,0.3081967213114754,0.5269058295964125
0.06,0.1821705426356589,0.10273224043715846,0.1821705426356589,1.0,0.3081967213114754,0.5269058295964125
0.07,0.18604651162790697,0.11245984680009885,0.1828793774319066,1.0,0.3092105263157895,0.5280898876404494
0.08,0.18992248062015504,0.11770685432190887,0.1843137254901961,1.0,0.31125827814569534,0.5304740406320542
0.09,0.19767441860465115,0.12784611967520512,0.1865079365079365,1.0,0.31438127090301005,0.5340909090909091
0.1,0.21705426356589147,0.15616071441601065,0.1902834008097166,1.0,0.3197278911564626,0.5402298850574713
0.11,0.2364341085271318,0.18339324618736383,0.1950207468879668,1.0,0.3263888888888889,0.5477855477855478
0.12,0.26356589147286824,0.21787306961196495,0.20085470085470086,1.0,0.33451957295373663,0.556872037914692
0.13,0.29457364341085274,0.2537840719255941,0.21266968325791855,1.0,0.35074626865671643,0.5745721271393643
0.14,0.313953488372093,0.28125228681691244,0.2186046511627907,1.0,0.35877862595419846,0.5831265508684863
0.15,0.35271317829457366,0.32942927928730575,0.23039215686274508,1.0,0.3745019920318725,0.5994897959183674
0.16,0.3875968992248062,0.3660385636021229,0.24867724867724866,1.0,0.3983050847457627,0.623342175066313
0.17,0.43023255813953487,0.4104945765589913,0.2658959537572254,0.9787234042553191,0.41818181818181815,0.6371191135734072
0.18,0.4689922480620155,0.45719745124779454,0.2839506172839506,0.9787234042553191,0.44019138755980863,0.6571428571428571
0.19,0.5077519379844961,0.49799082423667135,0.3087248322147651,0.9787234042553191,0.46938775510204084,0.6824925816023739
0.2,0.5310077519379846,0.5261552119236642,0.3262411347517731,0.9787234042553191,0.48936170212765956,0.6990881458966566
0.21,0.5465116279069767,0.5375999000999,0.34074074074074073,0.9787234042553191,0.5054945054945055,0.7120743034055728
0.22,0.5775193798449613,0.5614594218042493,0.36220472440944884,0.9787234042553191,0.5287356321839081,0.7301587301587301
