id,text
1,"[משתמש עשה ריטוויט]
"""
2,"[משתמש עשה ריטוויט]
""How to Fast the Day of Ashura | Shaykh Salih al-Fawzan


___

Help DuSunnah move to a bigger location. Donate now via:"
3,"[משתמש עשה ריטוויט]
""What Kind of Actions can I perform during the days of Dhul Hijjah?"
4,"[משתמש עשה ריטוויט]
""Surah al-jinn"
5,"[משתמש עשה ריטוויט]
""@XR2169 @nascubed"
6,"[משתמש עשה ריטוויט]
""The Reason for Wretchedness or Happiness - Ustādh Abdul Hakeem حفظه الله

Taken from the lesson 1 of Whoever Allah Wants Good For:"
7,"[משתמש עשה ריטוויט]
""PRIDE AND ARROGANCE"
8,"[משתמש עשה ריטוויט]
""Imaam al-Shaafi'ee: ""Seeking knowledge is better than supererogatory prayer."" Jaami' Bayaan al-'Ilm (1/123)."""
9,"[משתמש עשה ריטוויט]
""New Lesson | Foundation of Islam | by Mohamed Somali | Starting Sunday May 4th at 4.30 | Live on @DusDawah Channel | All Welcome"
